cnae_nota,id_cidade_empresa,regime_tributacao_empresa,id_servico_prestado_nota,quantidade_empresas,quantidade_notas,total_empresas_grupo,total_notas_grupo
1629301,2743,SIMPLES_NACIONAL,7c8467d1-9343-4a74-9d83-52af68cf0cbd,1,1,1,1
1629301,8521,SIMPLES_NACIONAL,594d745b-5188-4597-bba1-452e53557be7,1,6,3,9
1629301,8521,SIMPLES_NACIONAL,5babfa97-36dd-422b-be14-329b19858cea,1,1,3,9
1629301,8521,SIMPLES_NACIONAL,92e3f53a-6c48-4aee-ad6c-1f54b18d9727,1,2,3,9
1629301,8928,NORMAL,b0a86362-d0ac-4d5c-a53f-ea27f3d6bea3,1,4,1,4
1741902,6994,SIMPLES_NACIONAL,,1,72,3,235
1741902,6994,SIMPLES_NACIONAL,53b02d2d-e424-4f7c-9fca-2c1620c11af7,1,152,3,235
1741902,6994,SIMPLES_NACIONAL,8d1e3653-2fb2-4210-b8db-741ff396a710,1,11,3,235
1741902,7994,SIMPLES_NACIONAL,ad236348-24a7-4774-a2a5-3e82bfe5f50e,1,22,1,22
1749400,7994,SIMPLES_NACIONAL,ad236348-24a7-4774-a2a5-3e82bfe5f50e,1,1,1,1
1749400,9183,SIMPLES_NACIONAL,63c9daf5-719f-4bde-924b-ad7ca9000ede,1,2,1,2
1749400,9668,SIMPLES_NACIONAL,239a6a8b-bbf1-44af-96ad-4679d3cd9f51,1,3,1,3
1811301,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,1,7,1,7
1811301,6962,SIMPLES_NACIONAL,5a696732-7c47-4080-98a8-ae28dade1e8e,1,32,2,58
1811301,6962,SIMPLES_NACIONAL,cbad519e-11cb-4752-8ae3-a9724358d950,1,26,2,58
1811301,6989,SIMPLES_NACIONAL,53a1e441-8b40-489c-9325-eb5050f74902,1,1,1,1
1811302,683,SIMPLES_NACIONAL,81c051dd-3700-4b79-b4d6-e74e36310891,1,14,1,14
1811302,2743,SIMPLES_NACIONAL,6a415005-2117-41d7-8488-d299dd0900c1,1,1,1,1
1811302,6989,SIMPLES_NACIONAL,53a1e441-8b40-489c-9325-eb5050f74902,1,256,1,256
1811302,7994,SIMPLES_NACIONAL,ad236348-24a7-4774-a2a5-3e82bfe5f50e,1,66,1,66
1811302,8864,SIMPLES_NACIONAL,e1fe465b-c58e-4d2c-a70c-289ae04f8e74,1,13,2,53
1811302,8864,SIMPLES_NACIONAL,ec2f9feb-8ab3-4bdf-bebc-a4d2db97f750,1,40,2,53
1812100,2743,SIMPLES_NACIONAL,0acc803f-3dca-4474-9915-586cb62de9c8,1,3,3,529
1812100,2743,SIMPLES_NACIONAL,6a415005-2117-41d7-8488-d299dd0900c1,1,517,3,529
1812100,2743,SIMPLES_NACIONAL,ad393d00-740c-4bbb-9979-d84aeaf21df8,1,9,3,529
1812100,8228,NORMAL,d5de43be-78e9-4dd7-97e8-8f5523b87a78,1,44,1,44
1813001,243,SIMPLES_NACIONAL,87133c69-d2fc-4eae-bc85-5ef16bdfe000,1,5,2,11
1813001,243,SIMPLES_NACIONAL,c4e0febf-8a18-4d57-a049-2f4db0697926,1,6,2,11
1813001,988,SIMPLES_NACIONAL,30c5c65f-bef0-4302-99e0-9e0c326d3791,1,64,2,67
1813001,988,SIMPLES_NACIONAL,d19790a2-1cd4-43cb-8126-25c4b49aa667,1,3,2,67
1813001,1150,NORMAL,4c1c83a7-5ec6-4a29-bd97-d8b110170840,1,2,1,2
1813001,1165,SIMPLES_NACIONAL,550b6d33-0e6c-4dac-bcce-d67ede21e3ba,1,1,1,1
1813001,1778,NORMAL,49407486-961b-4baa-8f0d-40082c5843de,2,39,4,124
